,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
825920,6.0,5.0,25.0,1.0,10.0,2.0,25.7,1.0,9.0
800835,7.0,6.0,23.0,2.0,78.0,2.0,,2.0,8.0
910306,11.0,10.0,31.0,11.0,105.0,2.0,27.5,0.0,6.0
247833,10.0,9.0,41.0,6.0,114.0,3.0,,2.0,0.0
482471,3.0,2.0,54.0,12.0,71.0,3.0,,2.0,0.0
738549,12.0,11.0,16.0,13.0,178.0,7.0,34.4,2.0,10.0
1025231,10.0,9.0,41.0,1.0,12.0,7.0,34.3,2.0,5.0
894180,10.0,9.0,30.0,2.0,15.0,7.0,13.1,2.0,10.0
1126734,12.0,11.0,49.0,4.0,82.0,2.0,,0.0,6.0
487363,8.0,7.0,51.0,12.0,71.0,12.0,47.0,2.0,3.0
616049,9.0,8.0,7.0,7.0,158.0,7.0,,2.0,7.0
860854,7.0,6.0,27.0,4.0,182.0,7.0,,2.0,7.0
175958,6.0,9.0,37.0,3.0,28.0,6.0,2591.0,2.0,10.0
70641,1.0,4.0,14.0,3.0,90.0,5.0,148.1,2.0,10.0
26607,13.0,12.0,37.0,1.0,1.0,2.0,,2.0,5.0
1095482,8.0,7.0,47.0,7.0,79.0,7.0,,2.0,5.0
1125939,10.0,9.0,50.0,0.0,20.0,1.0,7.4,1.0,9.0
108797,6.0,9.0,35.0,3.0,86.0,5.0,81.0,2.0,5.0
575084,11.0,10.0,4.0,1.0,177.0,2.0,31.6,1.0,9.0
53746,0.0,3.0,2.0,3.0,89.0,4.0,6.4,0.0,4.0
1015016,9.0,8.0,40.0,14.0,40.0,2.0,3.9,0.0,4.0
803018,4.0,3.0,22.0,11.0,123.0,2.0,63.5,1.0,9.0
1133532,6.0,5.0,50.0,16.0,41.0,2.0,5.8,0.0,6.0
1047951,4.0,3.0,42.0,1.0,51.0,7.0,38.1,0.0,6.0
477073,8.0,7.0,45.0,12.0,71.0,12.0,940.0,2.0,3.0
741653,3.0,2.0,17.0,1.0,1.0,2.0,,2.0,7.0
266410,9.0,8.0,21.0,6.0,68.0,12.0,7358.0,0.0,4.0
1088965,10.0,9.0,45.0,13.0,118.0,7.0,68.0,0.0,6.0
229036,11.0,10.0,52.0,5.0,116.0,3.0,126.0,2.0,3.0
968145,11.0,10.0,35.0,14.0,40.0,7.0,15.9,2.0,8.0
736643,8.0,7.0,17.0,10.0,169.0,1.0,3.6,2.0,3.0
377595,8.0,7.0,32.0,4.0,70.0,8.0,23.04,0.0,6.0
382467,11.0,10.0,27.0,4.0,70.0,12.0,848.0,0.0,4.0
113749,6.0,9.0,26.0,3.0,88.0,5.0,31.3,2.0,5.0
320908,6.0,5.0,54.0,4.0,112.0,8.0,232.9,0.0,6.0
976978,6.0,5.0,36.0,16.0,37.0,7.0,24.7,2.0,10.0
280386,8.0,7.0,27.0,6.0,67.0,3.0,54.14,0.0,4.0
813499,9.0,8.0,23.0,11.0,105.0,7.0,17.2,0.0,4.0
406459,6.0,5.0,14.0,7.0,107.0,3.0,76.4,2.0,5.0
185354,4.0,7.0,19.0,3.0,28.0,5.0,65.6,0.0,4.0
100610,0.0,3.0,15.0,3.0,85.0,4.0,555.4,0.0,6.0
205244,4.0,7.0,5.0,3.0,106.0,6.0,,2.0,0.0
222306,9.0,8.0,30.0,5.0,116.0,8.0,82.9,1.0,9.0
788234,13.0,12.0,22.0,11.0,117.0,7.0,26.9,2.0,7.0
692512,9.0,8.0,13.0,6.0,154.0,2.0,43.4,0.0,4.0
951479,3.0,2.0,34.0,6.0,148.0,7.0,64.7,1.0,9.0
166163,0.0,3.0,39.0,3.0,25.0,4.0,10.5,2.0,5.0
1097292,4.0,3.0,48.0,2.0,137.0,7.0,,2.0,5.0
179605,1.0,4.0,33.0,3.0,28.0,6.0,976.0,1.0,9.0
59798,3.0,6.0,33.0,3.0,89.0,6.0,,2.0,1.0
227204,3.0,2.0,35.0,5.0,116.0,8.0,27.2,2.0,5.0
245789,8.0,7.0,29.0,6.0,114.0,8.0,,2.0,3.0
922435,6.0,5.0,33.0,1.0,129.0,7.0,30.7,2.0,5.0
530663,9.0,8.0,0.0,7.0,138.0,2.0,75.7,2.0,10.0
728595,9.0,8.0,16.0,2.0,83.0,2.0,,2.0,5.0
81309,5.0,8.0,48.0,3.0,90.0,4.0,28.6,2.0,3.0
554000,4.0,3.0,1.0,0.0,61.0,7.0,,2.0,8.0
65097,4.0,7.0,45.0,3.0,30.0,4.0,2.6,1.0,9.0
594443,7.0,6.0,4.0,7.0,46.0,2.0,67.4,0.0,4.0
787140,9.0,8.0,21.0,2.0,132.0,2.0,,2.0,5.0
729727,11.0,10.0,16.0,14.0,170.0,1.0,4.9,2.0,8.0
377592,3.0,2.0,45.0,4.0,70.0,8.0,17.85,1.0,9.0
663611,4.0,3.0,11.0,6.0,134.0,2.0,42.9,1.0,9.0
961751,5.0,4.0,36.0,0.0,20.0,10.0,7.9,2.0,10.0
961099,8.0,7.0,36.0,7.0,133.0,2.0,56.2,2.0,3.0
